GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
todos,sn.ept.git.seminaire.cicd.resources,TodoResource,12,67,0,0,3,17,1,6,1,6
todos,sn.ept.git.seminaire.cicd.resources,DefaultResource,0,11,0,0,0,7,0,3,0,3
todos,sn.ept.git.seminaire.cicd.resources,TagResource,0,92,0,0,0,22,0,7,0,7
todos,sn.ept.git.seminaire.cicd.demo.exception,DivisionByZeroException,0,23,0,0,0,10,0,5,0,5
todos,sn.ept.git.seminaire.cicd.demo.exception,BadPhoneException,0,23,0,0,0,10,0,5,0,5
todos,sn.ept.git.seminaire.cicd.exceptions,ItemNotFoundException,0,21,0,0,0,9,0,5,0,5
todos,sn.ept.git.seminaire.cicd.exceptions,ForbiddenException,0,8,0,0,0,4,0,2,0,2
todos,sn.ept.git.seminaire.cicd.exceptions,ItemExistsException,0,21,0,0,0,9,0,5,0,5
todos,sn.ept.git.seminaire.cicd.exceptions,InvalidException,0,4,0,0,0,2,0,1,0,1
todos,sn.ept.git.seminaire.cicd.models,Tag,0,6,0,0,0,4,0,1,0,1
todos,sn.ept.git.seminaire.cicd.models,BaseEntity_,3,0,0,0,1,0,1,0,1,0
todos,sn.ept.git.seminaire.cicd.models,Tag_,3,0,0,0,1,0,1,0,1,0
todos,sn.ept.git.seminaire.cicd.models,Todo_,3,0,0,0,1,0,1,0,1,0
todos,sn.ept.git.seminaire.cicd.models,Todo,0,16,0,0,0,7,0,1,0,1
todos,sn.ept.git.seminaire.cicd.mappers,TodoMapperImpl,12,285,6,10,6,61,6,9,0,7
todos,sn.ept.git.seminaire.cicd.mappers,TagMapperImpl,4,97,2,2,2,23,2,3,0,3
todos,sn.ept.git.seminaire.cicd.utils,ExceptionUtils,0,29,0,4,0,10,0,5,0,3
todos,sn.ept.git.seminaire.cicd.utils,Utils,1,35,1,1,0,6,1,5,0,5
todos,sn.ept.git.seminaire.cicd.utils,ResponseUtil,12,54,0,0,2,8,2,6,2,6
todos,sn.ept.git.seminaire.cicd.utils,TestUtil,0,46,0,2,0,11,0,5,0,4
todos,sn.ept.git.seminaire.cicd.mappers.vm,TodoVMMapperImpl,4,119,2,2,2,27,2,3,0,3
todos,sn.ept.git.seminaire.cicd.mappers.vm,TodoVMMapper,0,28,0,0,0,12,0,2,0,2
todos,sn.ept.git.seminaire.cicd.mappers.vm,TagVMMapperImpl,2,99,1,3,1,24,1,4,0,3
todos,sn.ept.git.seminaire.cicd,TodoApplication,5,3,0,0,2,1,1,1,1,1
todos,sn.ept.git.seminaire.cicd.mappers.generic,GenericMapper,0,18,0,0,0,2,0,2,0,2
todos,sn.ept.git.seminaire.cicd.exceptions.handler,RestResponseEntityExceptionHandler,0,113,0,0,0,31,0,7,0,7
todos,sn.ept.git.seminaire.cicd.demo,CurrencyService,0,20,0,2,0,3,0,3,0,2
todos,sn.ept.git.seminaire.cicd.demo,CurrencyConverter,0,13,0,0,0,4,0,2,0,2
todos,sn.ept.git.seminaire.cicd.demo,Currency,0,44,0,0,0,2,0,1,0,1
todos,sn.ept.git.seminaire.cicd.demo,Calculator,0,28,0,2,0,7,0,6,0,5
todos,sn.ept.git.seminaire.cicd.demo,Validator,0,77,0,8,0,19,0,10,0,5
todos,sn.ept.git.seminaire.cicd.demo,MyFileReader,9,0,0,0,2,0,2,0,2,0
todos,sn.ept.git.seminaire.cicd.services.impl,TodoServiceImpl,0,225,0,6,0,48,0,12,0,9
todos,sn.ept.git.seminaire.cicd.services.impl,TagServiceImpl,6,220,0,4,0,50,1,12,1,10
